"file","place","location","pattern","sentence","verdict","notes","correct"
"blog/best-bakeries-tampa-bay.md","Cake Therapy","Gandy Boulevard","on_road","Cake Therapy on Gandy Boulevard and The Cake Lady in Carrollwood both specialize in custom designs that taste as good as they look.","DOES_NOT_EXIST","Cake Therapy is in San Francisco, not Tampa. No evidence of any Tampa location on Gandy Boulevard.",""
"blog/best-coolers-florida-beach.md","Eleven","Gulf Boulevard","on_road","The Yeti ICE 4lb costs $30 but lasts significantly longer than bagged ice from the 7-Eleven on Gulf Boulevard.","VERIFIED","Multiple 7-Eleven stores on Gulf Boulevard in Tampa Bay area (St Pete Beach, Madeira Beach).",""
"blog/best-dermatologists-tampa-bay.md","His Westchase","Linebaugh Avenue","on_road","His Westchase location on Linebaugh Avenue stays booked months out — a testament to his reputation.","DOES_NOT_EXIST","No business named 'His Westchase' found in search results. Multiple barber shops exist in Westchase area but none with this name.",""
"blog/best-dermatologists-tampa-bay.md","Her Brandon","Bloomingdale Avenue","on_road","Her Brandon location on Bloomingdale Avenue offers evening hours — rare in dermatology.","DOES_NOT_EXIST","No business called 'Her' found on Bloomingdale Avenue in Brandon. Only Brandon Dermatology exists there.",""
"blog/best-dog-parks-tampa-bay.md","Riverview","Boyette Road","off_road","Parking: Large lot, easy access.

### Riverview Dog Park (Boyette Park) ★★★
Location: Riverview, off Boyette Road
Type: Fenced, separated areas
Size: Medium
The deal: A solid option for south Hillsborough residents.","DOES_NOT_EXIST","No public dog park exists at this location. Boyette Springs Park has no fenced dog park; was only proposed.",""
"blog/best-emergency-kits-florida.md","Whether","Land","tucked_on","Whether you're in downtown Tampa dealing with storm surge zones or tucked away in Land O' Lakes, having the right emergency supplies isn't just smart — it's essential for protecting your family and property.


## Why Florida Homes Need Specialized Emergency Kits

Florida's unique geography creates challenges you won't face in most other states.","SKIP","Whether is not a business name - it's just a word starting a sentence fragment.",""
"blog/best-gas-stations-tampa-bay.md","Brandon","Causeway Boulevard","on_road","The Costco in Brandon on Causeway Boulevard consistently shows some of the lowest prices I've seen — often $3.15 when others are pushing $3.35.","VERIFIED","Costco at 10921 Causeway Blvd, Brandon, FL confirmed open and operational.",""
"blog/best-gas-stations-tampa-bay.md","The RaceTrac","Fowler Avenue","on_road","The RaceTrac on Fowler Avenue near USF stays busy but moves fast.","VERIFIED","RaceTrac at 2120 E Fowler Ave near USF, open 24/7",""
"blog/best-gas-stations-tampa-bay.md","The Shell","Westshore Boulevard","on_road","The Shell on Westshore Boulevard near the airport is my go-to when I'm rushing to pick up out-of-town clients.","VERIFIED","Shell at 1002 N Westshore Blvd near Tampa airport is open and operating.",""
"blog/best-gas-stations-tampa-bay.md","The Mobil","Bayshore Boulevard","on_road","The Mobil on Bayshore Boulevard charges premium prices but offers premium location and cleanliness.

## Gas Station Geography: Where to Fill Up by Area

### South Tampa and Hyde Park

Your best bets here are the Wawa on Kennedy or the Shell stations if you're in a hurry.","DOES_NOT_EXIST","No Mobil station found on Bayshore Blvd. Only Bayshore Quick Mart at 5435 Bayshore Blvd listed; Mobil stations at other Tampa locations.",""
"blog/best-gas-stations-tampa-bay.md","Costco","State Road","on_road","The Costco in Brandon is worth the drive if you're already heading that direction and need to fill up a larger vehicle.

### Westchase and Town 'n Country

Hit the Costco on State Road 84 for the best prices.","WRONG_ADDRESS","No State Road 84 in Tampa area. Costco near Westchase/Town 'n Country is open.","8712 W Linebaugh Ave, Tampa, FL 33625"
"blog/best-gas-stations-tampa-bay.md","The Costco","Causeway Boulevard","on_road","The Costco on Causeway Boulevard and the BJ's on Providence Road both offer excellent pricing.","VERIFIED","Costco is at 10921 Causeway Boulevard in Brandon, Tampa Bay area, currently open.",""
"blog/best-gas-stations-tampa-bay.md","BJ's","Providence Road","on_road","The Costco on Causeway Boulevard and the BJ's on Providence Road both offer excellent pricing.","DOES_NOT_EXIST","No BJ's Wholesale Club on Providence Road. Tampa area has BJ's at Commerce Palms Blvd and W Waters Ave.",""
"blog/best-gated-communities-tampa-bay.md","Hillsborough County","Linebaugh Avenue","off_road","Waterchase sits in the Westchase area of northwest Hillsborough County, just off Linebaugh Avenue south of the Veterans Expressway.

- Gate: Manned guard gate with 24/7 staffing.","VERIFIED","Waterchase is gated community in Westchase area, northwest Hillsborough County, near Linebaugh Avenue and Veterans Expressway, with 24-hour manned guard gate.",""
"blog/best-gated-communities-tampa-bay.md","Arbor Greene","Gunn Highway","off_road","Arbor Greene is a gated community in northwest Tampa, off Gunn Highway near the Citrus Park area.

- Gate: Guard-gated main entrance.","WRONG_ADDRESS","Arbor Greene is in New Tampa (northeast), not northwest Tampa near Citrus Park. Guard-gated confirmed.","New Tampa, off Cross Creek Boulevard"
"blog/best-gyms-fitness-tampa-bay.md","The Brandon","Causeway Boulevard","off_road","The Brandon location off Causeway Boulevard and the Westshore location are among the busiest
- Best for: People who want a full-service gym without premium pricing

Planet Fitness
- Locations: 25+ across Tampa Bay
- Monthly cost: $10/month (Classic) or $24.99/month (Black Card — adds tanning, massage chairs, guest privileges)
- What you get: Machines, cardio equipment, limited free weights (no squ","WRONG_ADDRESS","Planet Fitness in Brandon is at 911 Lithia Pinecrest Rd, not Causeway Boulevard.","911 Lithia Pinecrest Rd, Brandon, FL 33511"
"blog/best-hiking-trails-tampa-bay.md","Hillsborough River","Fletcher Avenue","off_road","Lettuce Lake Park is Tampa's best urban nature escape — a 240-acre park on the Hillsborough River just off Fletcher Avenue near USF.","SKIP","Hillsborough River is a natural waterway, not a business. The claim is about the river's location at Lettuce Lake Park.",""
"blog/best-hiking-trails-tampa-bay.md","Channel Park","Montague Street","off_road","The main trailhead at Channel Park (off Montague Street) has restrooms.","WRONG_ADDRESS","Channel Park exists on Upper Tampa Bay Trail but is off Waters Avenue/Waters Drive, not Montague Street.","9201 W. Waters Avenue"
"blog/best-mechanic-tampa-bay.md","Website","Overpass Road","on_road","Address: 2823 Overpass Road, Unit A, Tampa, FL 33619

Phone: (813) 443-5751

Website: autorxoftampa.com

Hours: Monday through Friday 8:00am to 5:30pm | Saturday 8:00am to 2:00pm

The shop sits on Overpass Road just off I-75.","VERIFIED","Auto Rx of Tampa confirmed at 2823 Overpass Rd, Unit A, Tampa FL 33619. Hours and phone match.",""
"blog/best-mechanic-tampa-bay.md","Website","Overpass Road","sits_on","Address: 2823 Overpass Road, Unit A, Tampa, FL 33619

Phone: (813) 443-5751

Website: autorxoftampa.com

Hours: Monday through Friday 8:00am to 5:30pm | Saturday 8:00am to 2:00pm

The shop sits on Overpass Road just off I-75.","VERIFIED","Auto Rx of Tampa confirmed at 2823 Overpass Road, Tampa FL 33619. Phone and website match. Business open and operating.",""
"blog/best-neighborhoods-dog-owners-tampa-bay.md","FishHawk Dog Park","FishHawk Boulevard","on_road","What makes it stand out for dogs:
- The Alafia River runs through the area, giving you access to nature trails that feel like you're in the middle of nowhere
- Sidewalks and trails connect virtually every neighborhood section
- Multiple pocket parks and green spaces
- FishHawk Dog Park on FishHawk Boulevard — fully fenced with separate areas for large and small dogs

The catch: FishHawk has an HOA","WRONG_ADDRESS","Dog park exists at Starling Club, not on FishHawk Blvd. Located at Starling Crossing Drive near Starling Club.","Starling Crossing Drive (at Starling Club)"
"blog/best-neighborhoods-dog-owners-tampa-bay.md","The Westchase Dog Park","Countryway Boulevard","on_road","The Westchase Dog Park on Countryway Boulevard is large, well-maintained, and has separate areas for big and small dogs with water stations and shade structures.","DOES_NOT_EXIST","No public dog park named 'Westchase Dog Park' on Countryway Boulevard found. Discovery Village senior facility has private dog park there.",""
"blog/best-neighborhoods-dog-owners-tampa-bay.md","Dunedin Dog Park","Michigan Boulevard","on_road","Key dog amenities:
- Dunedin Dog Park on Michigan Boulevard — fenced, separate areas, shaded
- Pinellas Trail runs right through downtown — paved multi-use trail perfect for long walks or jogs with your dog
- Honeymoon Island State Park — dogs are allowed on Pet Beach (south end of the island, $8 vehicle entry fee)
- Multiple waterfront parks where leashed dogs are welcome

Housing in Dunedin rang","WRONG_ADDRESS","Dog park exists in Dunedin, but at 1659 Achieva Way, not Michigan Boulevard","1659 Achieva Way, Dunedin, FL 34698"
"blog/best-neighborhoods-no-hoa-tampa-bay.md","Independent","Florida Avenue","on_road","Fully updated homes in Old Seminole Heights push toward $600K+.
- Vibe: Independent coffee shops on Florida Avenue, craft breweries, the weekly Saturday morning market at Seminole Heights Garden Center.","VERIFIED","The Independent is at 5016 N Florida Ave in Seminole Heights, open since 2009.",""
"blog/best-neighborhoods-tampa-bay-families.md","FishHawk Boulevard","Lithia Pinecrest Road","off_road","The community sits along FishHawk Boulevard off Lithia Pinecrest Road, and everything about it was designed around families.

- Schools: Barrington Middle and Newsome High are consistently A-rated.","VERIFIED","FishHawk Blvd intersects with Lithia Pinecrest Road in Lithia, FL area.",""
"blog/best-paddleboards-tampa-bay.md","I've","Bayshore Boulevard","off_road","I've tested dozens of boards in everything from the choppy waters off Bayshore Boulevard to the glass-calm mornings at Weedon Island.","SKIP","I've is not a business name.",""
"blog/best-storage-units-tampa-bay.md","U-Haul Storage Pinellas Park
Budget","7801 Park Boulevard","at_address","U-Haul Storage Pinellas Park
Budget option at 7801 Park Boulevard that serves the St.","WRONG_ADDRESS","U-Haul Moving & Storage of Pinellas Park is at 4015 Park Blvd, not 7801.","4015 Park Boulevard, Pinellas Park, FL 33781"
"blog/best-storage-units-tampa-bay.md","Eastern Hillsborough

AAA Storage Plant City","2902 James","at_address","Good security, clean facilities, and reasonable customer service.

### Plant City/Eastern Hillsborough

AAA Storage Plant City
Local operation at 2902 James L Redman Parkway that serves the Plant City corridor well.","DOES_NOT_EXIST","No AAA Storage found at 2902 James L Redman Parkway. AAA Storage has FL locations but none in Plant City.",""
"blog/best-wings-tampa-bay.md","Their Westchase","11007 Countryway Blvd","at_address","Their Westchase location at 11007 Countryway Blvd has been my go-to since 2003, mainly because they understand that ""medium"" should actually have some heat.","DOES_NOT_EXIST","No business named 'Their Westchase' found at 11007 Countryway Blvd or anywhere in the area.",""
"blog/best-wings-tampa-bay.md","Petersburg","2017 Central Ave","at_address","Petersburg)

Located at 2017 Central Ave, Jazzy's does something magical with their smoker.","WRONG_ADDRESS","Jazzy's BBQ is in Tampa at 5703 W Waters Ave, not St. Petersburg at 2017 Central Ave.","5703 W Waters Ave, Tampa, FL"
